name,id,dlc,featureflag,icon,slot,elite,charge,chargeEffect,cooldown,duration,shots,group,stars,experience,requiresUnitType,unlockCost,executeCost,trigger,traits,order type,target,target restrictions,radius,effect,effect2,effect3,effect4,effect5,followup
//,,,,icon id,slot of unit buttons (default start of the row),elite icon id, ,,,how long it keeps running; 0 or infinite means infinite duration. Note; this interferes with shots,,,,,Ability will be disabled when the unit is not of a matching type. Used for elite abilities that are only enabled in certain modes: for example shredder. Use translation key xxx_requiresUnitType to specify a tooltip to show.,Resources cost in territory mode to UNLOCK this ability,Resources cost in territory mode to EXECUTE this ability,,,,,,effectRadius; applies to the effects,,,,,,
// FEDERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// RIFLE SQUAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenade,41,base,FleetDLC,,,,,,30,infinite,1,default,/,/,,,,,,fire,area,,6,weapon = Concussion_Grenade 0,,,,,
Shotgun,94,base,FleetDLC,1,,0,,,30,12,,default,3,/,,30,,,unlockable,action,none,,,changeweapon = Shotgun 0,,,,,
Bundled_Grenades,126,base,,2,,1,,,30,infinite,1,default,3,/,,30,,,unlockable,fire,area,,,weapon = Bundled_Grenades 0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// HEAVY TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenade_Barrage,73,base,,3,,,,,30,infinite,5,default,/,/,,,,,,fire,area,,,weapon = Morita_MkII_Volley,,,,,
Flak_Grenades,74,base,,4,,8,,,30,infinite,10,default,3,/,,50,,,unlockable,fire,area,,,weapon = Morita_MkII_Flak,,,,,
Ripper_Barrage,71,base,,5,,9,,,30,infinite,4,default,3,/,,50,,,unlockable,fire,area,,,weapon = Ripper_Grenade,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ENGINEERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire_Grenade,106,base,,20,,,,,30,infinite,1,default,/,/,,,,,,fire,area,,3,weapon = Fire_Grenade 0,,,,,
Blazing_Spear,103,base,,21,,2,,,30,infinite,1,default,3,/,,30,,,unlockable,fire,area,,,weapon = Blazing_Spear,,,,,
