name,id,traits,radiuscapturing,transform restrictions,attributes
,,,,,
// FEDERATION,,,,,
Infantry,0,,canCapture: true; canNeutralize: true; canDefend: true,,
Transport_Land,1,,,,
Vehicle,2,,canDefend: true,,repairable
Transport_Air,3,,,,
Aircraft,4,cannotCapture,,,
Transport_Naval,5,,,,
Structure,6,gridLocked; cannotCapture; suppressionImmune; noExperience; noUnitCard,,position: grid,
Construction,13,gridLocked; cannotCapture; suppressionImmune; noExperience; noUnitCard,canDefend: true,position: grid,
Electro_Turret,20,gridLocked; cannotCapture; suppressionImmune; noExperience; noUnitCard,canDefend: true,position: grid,
Device,11,cannotCapture; suppressionImmune; noExperience,,,
Platform,15,gridLocked; cannotCapture; suppressionImmune; noExperience; noUnitCard,,position: grid,repairable
Station,17,gridLocked; cannotCapture; suppressionImmune; noExperience,,position: grid,
StructureWithCard,21,gridLocked; cannotCapture; suppressionImmune; noExperience,,position: grid,
,,,,,
// ARACHNID,,,,,
Horde,7,nightVision; noExperience,canNeutralize: true; canDefend: true,,
Behemoth,8,nightVision; noExperience,canNeutralize: true; canDefend: true,,
Swarm,9,cannotCapture; nightVision; noExperience,canDefend: true,,
Overseer,10,nightVision; noExperience,canNeutralize: true; canDefend: true,,
Cavern,14,gridLocked; cannotCapture; suppressionImmune; noExperience,,position: grid,
Hive,18,gridLocked; cannotCapture; suppressionImmune; noExperience,,position: grid,
,,,,,
Marker,12,cannotCapture; noUnitCard,,,
Critter,16,noExperience,,,
,,,,,
Generic,19,,,,
