cat,name,cost,reward,income,extra
Units,,,,,
,rifle_squad,100,,,
,engineers,100,,,
,sniper,100,,,
,Radio_Operator,100,,,
,Tactical_Officer,200,,,
,Rocketeers,200,,,
,Heavy_Troopers,200,,,
,Fleet_Liaison,300,,,
,E-Pulse_Infantry,300,,,
,Battle_Cruiser,1000,,,
,Mech_Engineers,200,,,
,Mech_Electronic,500,,,
,Field_Gun,300,,,
,M11_Marauder_HM,800,,,
,M11_Marauder_FM,800,,,
,M11_Marauder_GM,800,,,
,Power_Infantry,500,,,
,MkII_Marauder,1000,,,
,marines,100,,,
,Penal_Squad,50,,,
,artillery_platform,300,,,
,steel_bunker,100,,,
,technicians,200,,,
,assault_marines,300,,,
,power_sniper,500,,,
Tier 1,,,,,
,support_center,100,,,
,command_center,100,,,
Tier 2,,,,,
,grenade_depot,300,,,
,rocket_depot,300,,,
Tier 3,,,,,
,fleet_relay,500,,,
,power_plant,800,,,
Tier 4,,,,,
,machine_bay,1200,,,
Tier 5,,,,,
,sector_headquarters,1200,,,
Turrets,,,,,
,mg_turret,100,,,
,heavy_turret,150,,,
,electro-mortar,150,,,
,electro-cannon,150,,,
,electro-aa,150,,,
,electro-generator,500,,,
,,,,,
Abilities,shotgun,50,,,
,bundled_grenades,50,,,
,,,,,
,,,,,
,,,,,
Technologies,,,,,
,,,,,
,supply_1,100,,,
,supply_2,300,,,
,Supply_3,600,,,
,Supply_4,1200,,,
,Supply_5,2400,,,
,,,,,
,Dropship_1,200,,,
,Dropship_2,400,,,
,Dropship_3,600,,,
,Dropship_4,800,,,
,,,,,
,tier1_grenade_abilities,100,,,
,rifle_rof_increase,200,,,
,rifle_aa_increase,300,,,
,sniper_rof_increase,200,,,
,engineer_armor_increase,200,,,
,sniper_ap_ability,200,,,
,epulse_range_increase,300,,,
,electrified_hull,300,,,
,hover_gun_rof,500,,,
,fleet_liaison_cooldown,500,,,
,rocket_range_increase,500,,,
,,,,,
Arachnids,,,,,
,warrior_bugs,,10,,
,spitter_bugs,,15,,
,tiger_bugs,,20,,
,royal_guard_bug,,100,,
,raged_guard_bug,,0,,
,tanker_bug,,100,,
,scorpion_bug,,50,,
,grenadier_bug,,25,,
,plasma_bug,,100,,
,bombardier_bugs,,12.5,,
,chariot_bugs,,2,,
,pupae_bugs,,2,,
,brood_nest_bugs,,2,,
,cliff_mites,,7.5,,
,sparker_bug,,30,,
,brood_chamber,,50,,
,bug_lair,,30,,
,hopper_bugs,,15,,
,spiker_nest,,100,,
,rippler_bugs,,20,,
,scorpion_turret,,50,,
,king_tanker,,100,,
Special,,,,,
,hiveCavernType,,500,,
,income_passive,,50,,
,income_station,,50,,
,initial_resource,,150,,
,initial_supply,,80,,
,initial_dropship,,20,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Mutations,,,,,
,,,,,
,Mutation_01,150,0,,Spitters;tigers
,Mutation_02,250,1,,Spitters;tigers;royal_guards;tankers;grenadiers
,Mutation_03,250,2,,tigers;tankers;royal_guards;grenadiers;plasmas
,Mutation_04,200,100,,
,Mutation_05,200,100,,
,Mutation_06,200,100,,
,Mutation_07,200,100,,
,Mutation_08,200,100,,
,Mutation_09,200,100,,
,Mutation_10,200,100,,
