name,id,featureflag,horizon color,fog color,fog color far,fog range,fog split,skybox,wind,ambient,angle,direction,color,intensity,shadow,shroud,water refraction,water reflection,water specular,ui alpha,fow,range cap,weather,ambient occlusion,bloom,vignette,preview color
//,,,,,,,,,,,,,,,,,,,,,LOS,,,,,,map preview color in territory mission screen
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert_Noon,0,,140 102 69,216 184 154,214 174 136,40 80,0.2,noon 0.8,,/,55,75,255 228 206,1.6,0.828,17 10 6,88 83 60 203,111 103 75 109,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Desert_Dusk,1,,118 91 66,255 213 220,246 232 224,35 55,0.2,dusk 0.8,,/,40,144,255 219 206,1.6,0.828,37 23 16,88 83 60 203,111 103 75 109,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Desert_Night,2,,25 22 38,107 122 160,107 122 160,30 60,0.2,night 2.8,,/,33,133,51 55 149,2,0.6,1 1 3,88 83 60 0,111 103 75 0,,0.5,0.5,,,mode: MultiScaleVolumetricObscurance; intensity: 0.7; color: 0 0 0,,,color: 100 100 200
Desert_Dawn,3,,113 71 54,214 136 103,214 136 103,40 80,0.2,dawn 0.8,,/,30,62,224 162 147,1.8,0.685,15 7 5,65 41 18 194,111 94 75 105,,1,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Underground,4,,0 0 0,51 27 20,0 0 0,10 340,0.8,night 2.8,,/,90,0,12 21 126,1,0.685 soft,0 0 0,88 83 60 102,111 103 75 55,,0.5,0.6,,,mode: MultiScaleVolumetricObscurance; intensity: 0.65; color: 0 0 0,,,
Sewer,5,,0 0 0,55 70 65,10 25 20,60 100,0.8,night 2.8,,/,80,10,22 96 81,1.6,0.685 soft,0 0 0,0 0 0 203,55 70 65 55,,0.5,0.5,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Storm,6,,40 35 15,206 176 148,214 174 136,30 150,0.2,night 2.8,,/,30,75,225 208 196,1.3,0.685 soft,17 10 6,0 0 0 203,111 103 75 0,,1,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Fire,7,,90 32 15,231 149 112,80 32 15,30 90,0.2,night 2.8,,/,55,62,207 104 71,1.3,0.828,13 4 2,10 0 0 100,120 103 75 0,,1,0.7,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Harsh,8,,140 102 69,216 184 154,214 174 136,20 60,0.2,noon 0.8,,/,55,75,255 238 226,1.8,0.9,17 10 6,88 83 60 203,111 103 75 159,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Desert_Sandstorm,9,,90 32 15,206 176 148,214 174 136,30 150,5.5,night 2.8,,/,40,144,255 219 206,1.3,0.4,37 23 16,88 83 60 203,111 103 75 109,,0.5,0.4,25,Sandstorm,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple_Noon,11,,165 124 255,48 25 75,165 124 255,10 50,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Noon2,12,,165 124 255,48 25 75,165 124 255,10 100,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Dusk,13,,165 124 255,48 25 75,165 124 255,30 50,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Dusk2,14,,165 124 255,48 25 75,165 124 255,30 100,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Night,15,,165 124 255,48 25 75,165 124 255,10 50,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Night2,16,,165 124 255,48 25 75,165 124 255,10 50,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Fog,17,,255 223 236,180 130 129,255 223 236,10 50,0.2,dusk 0.8,,/,25,155,236 200 191,1.8,0.75,37 23 16,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Fog2,18,,255 223 236,180 130 129,255 223 236,10 50,0.2,dusk 0.8,,/,25,155,243 220 193,1.8,0.75,37 23 16,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Poison,19,,97 226 186,0 117 183,97 226 186,10 50,0.2,dusk 0.8,,/,25,155,202 231 205,1.8,0.75,0 0 0,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Poison2,20,,97 226 186,0 117 183,118 201 175,10 50,0.2,dusk 0.8,,/,25,155,191 192 235,1.8,0.75,0 0 0,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Neutral,21,,94 111 241,50 50 50,189 189 189,10 50,0.2,dusk 0.8,,/,25,155,191 191 191,1.8,0.85,0 0 0,88 83 60 203,111 103 75 109,,1,1,,,,,,
Purple_Neutral2,22,,94 111 241,50 50 50,189 189 189,10 50,0.2,dusk 0.8,,/,25,155,191 191 191,1.8,0.85,0 0 0,88 83 60 203,111 103 75 109,,1,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutral_Light,30,,20 13 10 ,255 180 100,255 180 80,35 90,0.2,noon 0.8,,/,35,40,255 255 255,1,0.828,0 0 0,161 88 22 134,219 159 44 255,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 0.7; color: 0 0 0,,,
Chemical_Dusk_B,32,,20 13 10,255 180 100,255 180 80,35 90,0.16,dusk 0.5,,/,37,185,241 180 128,1.25,0.5,15 8 2,161 88 22 134,219 159 44 255,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.2; color: 0 0 0,,,
Chemical_Night,33,,25 22 38,107 122 160,107 122 160,30 60,0.2,night 2.8,,/,32,103,51 32 31,4.15,0.56,1 1 3,88 83 60 0,111 103 75 0,,0.8,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 1.2; color: 0 0 0,,,
Chemical_Dusk,34,,20 13 10 ,255 180 100,255 180 80,35 90,0.16,dusk 1,,/,27,56,195 117 58,1.8,0.65,15 8 2,161 88 22 134,219 159 44 255,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.2; color: 0 0 0,,,
Chemical_Sewer,35,,0 0 0,55 70 65,10 25 20,60 100,0.8,night 2.8,,/,130,-60,130 96 62,1.35,0.45 soft,0 0 0,0 0 0 203,55 70 65 55,,0.5,0.5,,,mode: MultiScaleVolumetricObscurance; intensity: 1.2; color: 0 0 0,,,
Chemical_Green,36,,20 13 10 ,200 255 200,116 130 85,45 130,0.045,green 0.5,,/,39,115.5,200 224 134,1,0.8,10 18 12,161 88 22 134,219 159 44 255,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.2; color: 0 0 0,,,overlay: 76 120 65 81
Chemical_Green_Ash,37,,20 13 10 ,200 255 200,116 130 85,45 130,0.045,green 0.5,,/,39,115.5,200 224 134,1,0.8,10 18 12,161 88 22 134,219 159 44 255,,1,1,,ash_green,mode: MultiScaleVolumetricObscurance; intensity: 1.2; color: 0 0 0,,,overlay: 76 120 65 81
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun_Neutral,40,,118 91 66,255 213 220,246 232 224,40 55,0.2,dusk 0.8,,/,40,20,255 219 206,1.8,0.828,37 23 16,88 83 60 203,111 103 75 109,,1,1,,,,,,
Sun_Yellow,41,,118 91 66,255 213 220,246 232 224,40 55,0.2,dusk 0.8,,/,40,40,255 219 206,1.8,0.828,37 23 16,88 83 60 203,111 103 75 109,,1,1,,,,,,
Sun_Orange,42,,118 91 66,255 213 220,246 232 224,40 55,0.2,dusk 0.8,,/,40,60,255 219 206,1.8,0.828,37 23 16,88 83 60 203,111 103 75 109,,1,1,,,,,,
Sun_Red,43,,118 91 66,255 213 220,246 232 224,40 55,0.2,dusk 0.8,,/,40,80,255 219 206,1.8,0.828,37 23 16,88 83 60 203,111 103 75 109,,1,1,,,,,,
Sun_Purple,44,,118 91 66,255 213 220,246 232 224,40 55,0.2,dusk 0.8,,/,40,100,255 219 206,1.8,0.828,37 23 16,88 83 60 203,111 103 75 109,,1,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lava_Default,50,,90 32 15,231 149 112,/,64.3 130.45,0.2,noon 1,,/,55,62,207 104 71,1.2,0.828,13 4 2,254 135 99 255,120 103 75 0,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Lava_Clear,51,,90 32 15,154 132 110 159,/,64.3 130.45,10,dusk 1,,171 134 128; 171 134 128; 171 134 128,26,120,255 237 223,1.1,0.924,13 4 2,254 135 99 255,120 103 75 0,,1,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Lava_Fire,52,,90 32 15,154 132 110 159,/,90 126.6,1,dusk 1,,173 124 114; 45 14 12; 114 38 24,29.3,120,255 147 112,1.4,0.924,13 4 2,254 135 99 255,120 103 75 0,,0.8,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 0.75; color: 0 0 0,,,
Lava_Dark,53,,90 32 15,43 19 12 223,/,63 125.6,10,dusk 1,,138 67 52; 45 8 5; 173 59 40,25.2,153.5,255 110 81,1.6,0.924,13 4 2,254 135 99 255,120 103 75 0,,0.5,0.6,,,mode: MultiScaleVolumetricObscurance; intensity: 0.75; color: 0 0 0,,,
