name,id,dlc,featureflag,group,size,level,variations,scale,facing,mask,autofloodfill,traits
//,,,,,,,,,,,,
Light,2,base,,light,1,,3,,,,,
Street_Light,104,base,,light; road,1,,2,,,,,
Tent_Corridor01,128,base,,base,1,,,,,,,flatFoundation; freeFacing; freePlacing
Tent_1x1,7,base,,base,1,1,,,5,,,blocking; flatFoundation; freeFacing
Tent_1x2,8,base,,base,1 2,1,2,,5,,,blocking; flatFoundation
Tent_1x4,1,base,,base,1,1,,,5,,,blocking; flatFoundation
Tent_1x1_Burnt,9022,base,,base,1,1,,,5,,,blocking; flatFoundation; freeFacing
Tent_1x2_Burnt,9023,base,,base,1 2,1,2,,5,,,blocking; flatFoundation
Tent_1x4_Burnt,9024,base,,base,1,1,,,5,,,blocking; flatFoundation
Billboard,10,base,,culture,1,,2,,5,,,blocking; freeFacing
Traffic_Light,18,base,,road,1,,2,,,,,
Traffic_Light_Bar,116,base,,road,2 1,,,,,,,
Lane_Marker,3,base,,decals,1,,,,,,,bendOverTerrain; terrainObject
Road_Crossing,5,base,,decals,1,,,,,,,bendOverTerrain; terrainObject
Road_Decal,24,base,,decals,2 1,,5,,,,,terrainObject
Road_Decal_Various,25,base,,decals,1,,8,,,,,terrainObject
Curbstones,4,base,,road,1,,,,,,,bendOverTerrain; terrainObject
Roadblocks,6,base,,road; barriers,1,,2,,,,,blocking;
Tunnel,112,base,,road,2 1,2,4,,,,,baseHeight
Statue,108,base,,culture,1,,4,0.8,,,,blocking;
Supply_Crate_Large,14,base,,containers,1,1,3,,,,,blocking
Supply_Crate_Small,15,base,,containers,1,,4,,,,,blocking
Barrel,123,base,,containers,1,,5,,,,,freeFacing; freePlacing; randomRotation
Barrels_2x2_1,2070,base,,containers,1,,1,,,,,freeFacing; freePlacing
Barrels_2x2_2,2071,base,,containers,1,,1,,,,,freeFacing; freePlacing
Barrels_2x4_1,2072,base,,containers,1,,1,,,,,
Barrels_2x4_2,2073,base,,containers,1,,1,,,,,
Barrels_4x4_1,2074,base,,containers,1,,1,,,,,
Barrels_4x4_2,2075,base,,containers,1,,1,,,,,
Barrels_4x6_1,2076,base,,containers,2 1,,1,,,,,
Crater,27,base,,destruction,1,,2,,,,,freeFacing; freePlacing; randomRotation
Crater_Scorched,132,base,,destruction,1,,2,,,,,freeFacing; freePlacing; randomRotation
Tree_Dead,96,base,,plants,1,,,,,,,freeFacing; freePlacing; randomRotation
Plant_A,97,base,,plants,1,,3,0.6 1,,,,freeFacing; freePlacing; randomRotation; terrainObject
Plant_B,102,base,,plants,1,,3,0.6 1,,,,freeFacing; freePlacing; randomRotation; terrainObject
Plant_C,103,base,,plants,1,,3,0.6 1,,,,freeFacing; freePlacing; randomRotation; terrainObject
Plant_D,2023,base,,plants,1,,3,0.9 1,,,,freeFacing; freePlacing; randomRotation; terrainObject
Rock_Small,32,base,,rocks,1,,6,,,,,freeFacing; freePlacing; randomRotation; terrainObject
Rock_Large,33,base,,rocks,1,,3,,,,,blocking; freeFacing; adjustChildrenToTerrain
Hatch,35,base,,base; industry; rooftop,1,,,,,,,
Satellite_Station,37,base,,base,2,2,,,,,,blocking; flatFoundation; noEditor
Storage_Depot,38,base,,base,2 3,1,2,,,,,blocking; flatFoundation
Entrance,91,base,,industry; base,2 1,2,4,,,,,baseHeight
Building_Industrial,113,base,,industry,2 1,4,,,,,,blocking; baseHeight
Building_Sign,107,base,,culture,1,,8,,,,,baseHeight
