name,id,dlc,featureflag,daytimes,terrain,unitModelGroup,waterType,waterColor,fogType
//,,base,,,,"define which model group to use, default if empty",,,
Desert,0,base,,Desert_Noon; Desert_Dusk; Desert_Night; Desert_Dawn; Storm; Fire; Desert_Sandstorm,Dunes; Sandy_Dunes; Sand; Flat_Sand; Sandy_Pebbles; Pebbles; Rocky_Pebbles; Rocky_Sand; Rocks; Cracked_Rocks; Cracks; Cracked_Sand; Sandy_Concrete; Pavement; Platform; Tiles,,,,
Underground,1,base,,Underground; Sewer,Dunes; Sandy_Dunes; Sand; Flat_Sand; Sandy_Pebbles; Pebbles; Rocky_Pebbles; Rocky_Sand; Rocks; Cracked_Rocks; Cracks; Cracked_Sand; Sandy_Concrete; Pavement; Tiles; Black,,,,
City,2,base,,Desert_Noon; Desert_Dusk; Desert_Night; Desert_Dawn; Storm; Fire; Desert_Sandstorm,Dunes; Sandy_Dunes; Sand; Flat_Sand; Sandy_Pebbles; Pebbles; Rocky_Pebbles; Rocky_Sand; Rocks; Cracked_Rocks; Cracks; Cracked_Sand; Sandy_Concrete; Pavement; Platform; Sidewalk; Sandy_Sidewalk,,,,
,,,,,,,,,
Moon,3,,LabDLC,Purple_Neutral; Purple_Neutral2; Purple_Noon; Purple_Noon2; Purple_Dusk; Purple_Dusk2; Purple_Night; Purple_Night2; Purple_Fog; Purple_Fog2; Purple_Poison; Purple_Poison2,Moon_Sand; Moon_Cracks; Moon_Rough; Moon_Rocks; Moon_Hexagons; Moon_Pavement; Moon_Tiles; Moon_Platform; Moon_Sandy_Cracks; Moon_Rough_Sandy; Moon_Sandy_Pavement; Moon_Sandy_Platform; Moon_Sandy_Hexagons,,,,
,,,,,,,,,
Chemical ,4,chem,,Chemical_Dusk; Chemical_Dusk_B; Chemical_Night; Chemical_Green; Chemical_Green_Ash; Neutral_Light,Chemical_Sand;Chemical_Dunes;Chemical_Sandy_Dunes ;Chemical_Pebbles;Chemical_Sand_Pebbles;Chemical_Cliffs_Pebbles;Chemical_Cliffs;Chemical_Cliffs_Sand;Chemical_Dry_Sand;Chemical_Concrete;Chemical_Sandy_Concrete;Chemical_Tiles;Chemical_Sandy_Tiles;Chemical_Platform;Chemical_Sandy_Platform,chem,yellowFog,210; 148; 20,
Chemical_Polluted,17,chem,,Chemical_Dusk; Chemical_Dusk_B; Chemical_Night; Chemical_Green; Chemical_Green_Ash; Neutral_Light ,Chemical_Dunes;Chemical_Waste_Dunes;Chemical_Dunes_Black;Chemical_Dunes_Pebbles;Chemical_Pebbles; Chemical_Waste_Pebbles; Chemical_Pebbles_Black; Chemical_Cliffs;Chemical_Cliffs_Pebbles;Chemical_Cliffs_Waste;Chemical_Cliffs_Black; Chemical_Waste_Black;Chemical_Waste_Black2;Chemical_Black_Waste_Mixed; Chemical_Waste_Black_Green; Chemical_Waste_Green;Chemical_Concrete;Chemical_Waste_Concrete;Chemical_Polluted_Sandy_Concrete;Chemical_Platform;Chemical_Waste_Platform; Chemical_Waste_Black_Platforms,chem,greenFog,210; 148; 20,
Chemical_Underground,16,chem,,Underground; Sewer; Chemical_Night; Chemical_Sewer; Neutral_Light,Chemical_Sand;Chemical_Dunes;Chemical_Pebbles;Chemical_Cliffs;Chemical_Platform;Chemical_Concrete;Chemical_Tiles;Black;Chemical_Sandy_Concrete;Chemical_Sandy_Platform;Chemical_Cliffs_Sand;Chemical_Sand_Pebbles;Chemical_Cliffs_Pebbles;Chemical_Sandy_Dunes,chem,yellowFog,210; 148; 20,
,,,,,,,,,
Lava,5,lava,,Lava_Clear; Lava_Fire; Lava_Dark; Lava_Ash; Lava_Ash_Light,Ash_Flat; Ash_Bumps; Ash_Soft_Bumps; Dry_Lava; Lava_Rocks; Ashy_Rocks; Veined_Rocks; Lava_Veins; Lava_Pool; Lava_Blobs; Lava_Platform; Ashy_Platform; Veined_Platform; Dry_Lava_Platform,lava,lava,175; 101; 35,fade
Lava_Underground,6,lava,,Lava_Underground; Lava_Ash,Ash_Flat; Ash_Bumps; Lava_Metal_Grid; Dry_Lava; Lava_Rocks; Ashy_Rocks; Veined_Rocks; Lava_Veins; Lava_Pool; Lava_Platform; Ashy_Platform; Veined_Platform; Dry_Lava_Platform; Black,lava,lava,175; 101; 35,fade
Heaven_One,7,lava,,Space_Station; Space_Station_Fire; Space_Station_Ash; Underground; Sewer,Station_Platform; Station1; Station2; Station_Sand; Station4; Station5; Station6; Black,,,,
Space_Station,8,,NewDecorations,Space_Station; Space_Station_Dark; Underground; Sewer; Space_Station01; Lava_Ash,Station_Platform; Station1; Station2; Station3; Station4; Station5; Station6; Black,,,,
