name,voices,select,confirm,attack,move,death,death2,traits
//,male;female,,used for construct only ,,,,,
,,,,,,,,
// BASE GAME: FEDERATION,,,,,,,,
,,,,,,,,
Rifle_Squad,3,rifle_squad,rifle_squad,rifle_squad,rifle_squad,Infantry_Death,Reverb_Death,useGenericSounds
Engineers,3,engineers,engineers,engineers,engineers,Infantry_Death,Reverb_Death,useGenericSounds
Radio_Operator,3,radio_operator,radio_operator,radio_operator,radio_operator,Infantry_Death,Reverb_Death,useGenericSounds
Sniper,3,sniper,sniper,sniper,sniper,Infantry_Death,Reverb_Death,useGenericSounds
Rocketeers,3,rocketeers,rocketeers,rocketeers,rocketeers,Infantry_Death,Reverb_Death,useGenericSounds
Tactical_Officer,3,tactical_officer,tactical_officer,tactical_officer,tactical_officer,Infantry_Death,Reverb_Death,useGenericSounds
Fleet_Liaison,2,fleet_liaison,fleet_liaison,fleet_liaison,fleet_liaison,Infantry_Death,Reverb_Death,useGenericSounds
E-Pulse_Infantry,3,e-pulse,e-pulse,e-pulse,e-pulse,Infantry_Death,Reverb_Death,useGenericSounds
Heavy_Troopers,3,heavy_troopers,heavy_troopers,heavy_troopers,heavy_troopers,Infantry_Death,Reverb_Death,useGenericSounds
Scientists,1,scientists,scientists,/,scientists,Infantry_Death,Reverb_Death,useGenericSounds
Generic_Humans,3,,,,,Infantry_Death,Reverb_Death,useGenericSounds
Marines,3,marines,marines,marines,marines,Infantry_Death,Reverb_Death,useGenericSounds
Power_Infantry,1,power_troopers,power_troopers,power_troopers,power_troopers,Power_Death,Reverb_Death,
Marauder,3,marauder,marauder,marauder,marauder,Marauder_Death,,
Yarrow,1,yarrow,yarrow,yarrow,yarrow,Yarrow_Death,Reverb_Death,
Chemical_Troopers,3,Chemical_Troopers,Chemical_Troopers,Chemical_Troopers,Chemical_Troopers,Chemical_Troopers,,
Warrior,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_MEDIUM,,
Spitter,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_SMALL,,
Drone,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_SMALL,,
Chariot,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_SMALL,,
Bombardier,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_SMALL,,
Scorpion,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_MEDIUM,,
Grenadier,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_MEDIUM,,
Tanker,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_LARGE,,
Plasma,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_LARGE,,
Hopper,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_FLYER,,
,,,,,,,,
// LAVA DLC,,,,,,,,
,,,,,,,,
Frag_Troopers,3;2,frag_troopers,frag_troopers,frag_troopers,frag_troopers,Infantry_Death,Reverb_Death,
Shredder,2,shredder,shredder,shredder,shredder,Infantry_Death,Reverb_Death,
Firefighter,3;2,firefighter,firefighter,firefighter,firefighter,Infantry_Death,Reverb_Death,
Mech_Engineer,3;2,mech_engineer,mech_engineer,mech_engineer,mech_engineer,Infantry_Death,Reverb_Death,
Mercenaries,3;2,mercenaries,mercenaries,mercenaries,mercenaries,Infantry_Death,Reverb_Death,
Mercenary_Captain,3;2,mercenary_captain,mercenary_captain,mercenary_captain,mercenary_captain,Infantry_Death,Reverb_Death,
Powered_Suit_Incinerators,3;2,powered_suit_incinerators,powered_suit_incinerators,powered_suit_incinerators,powered_suit_incinerators,Infantry_Death,Reverb_Death,
Powered_Suit_Officer,3;2,powered_suit_officer,powered_suit_officer,powered_suit_officer,powered_suit_officer,Infantry_Death,Reverb_Death,
,,,,,,,,
// METROPOLIS DLC,,,,,,,,
,,,,,,,,
Police_Squad,2;3,police,police,police,police,Infantry_Death,Reverb_Death,
Technicians,2;3,technicians,technicians,technicians,technicians,Infantry_Death,Reverb_Death,
Peacekeeper_Biped,2;3,peacekeeper,peacekeeper,peacekeeper,peacekeeper,/,,
Assault_Squad,2,riotshields,riotshields,riotshields,riotshields,Infantry_Death,Reverb_Death,
JAC_Trooper,2;3,mechanizedmarksman,mechanizedmarksman,mechanizedmarksman,mechanizedmarksman,Infantry_Death,Reverb_Death,
Hover_Autocannon,2;3,hoverautocannon,hoverautocannon,hoverautocannon,hoverautocannon,/,,
Pegasus_Gunship,3,gunship,gunship,gunship,gunship,/,,
Missile_Mech,2;3,missilemech,missilemech,missilemech,missilemech,/,,
Kamikaze_Drone,1,kamikaze_drone,kamikaze_drone,kamikaze_drone,kamikaze_drone,,,
Turret,1,turret,turret,turret,turret,,,
Metro_Robber,1,,,,,Robber_Death,,
Metro_Keys,1,kayla,fleet_liaison,kayla,kayla,Kayla_Death,,
Metro_Verhaegen,1,verhaegen,tactical_officer,verhaegen,verhaegen,Verhaegen_Death,,
Locust,1,,,,,Locust_Death,,
Plasma_Guard,1,,,,,PlasmaGuard_Tail_Loss,,
Plasma_Guard_Melee,1,,,,,PlasmaGuard_Death,,
,,,,,,,,
// TERRITORY MODE,,,,,,,,
,,,,,,,,
Sniper_Merc,1,Sniper_Merc,Sniper_Merc,Sniper_Merc,Sniper_Merc,Infantry_Death,Reverb_Death,
Mech_Engineer_Light,1,Mech_Engineer_Light,Mech_Engineer_Light,Mech_Engineer_Light,Mech_Engineer_Light,/,,
Hover_HMG,1,Hover_HMG,Hover_HMG,Hover_HMG,Hover_HMG,/,,
Exosuit_E-Troopers,1,Exosuit_E-Troopers,Exosuit_E-Troopers,Exosuit_E-Troopers,Exosuit_E-Troopers,Power_Death,Reverb_Death,
Mech_AT,1,Mech_AT,Mech_AT,Mech_AT,Mech_AT,/,,
Mech_Mortar,1,Mech_Mortar,Mech_Mortar,Mech_Mortar,Mech_Mortar,/,,
,,,,,,,,
