name,id,featureflag,bumps,bumpoffset,traits,splats,splats2
//,,,,,,,
,,,,,,,
// DESERT,,,,,,,
Sand,2,,,,dusty,0 = 100,
Pebbles,12,,,,dusty,2 = 100,
Dunes,0,,,,dusty,1 = 100,
Cracks,8,,,,dusty,4 = 100,
Pavement,3,,,,flat; pavement,5 = 100,
Rocks,4,,,,,3 = 100,
Tiles,7,,,,square; flat; pavement,6 = 100,
Platform,11,,,,square; flat; pavement,7 = 100,
,,,,,,,
Sandy_Dunes,13,,,,dusty,0 = 40,1 = 60
Sandy_Pebbles,26,,,,dusty,1 = 50,2 = 50
Pebble_Dunes,25,,,,dusty,0 = 50,2 = 50
Flat_Sand,14,,,,dusty,1 = 100,
Flat_Rocks,27,,,,,3 = 100,
Rocky_Sand,15,,,,,1 = 57,3 = 43
Rocky_Pebbles,21,,,,,2 = 70,3 = 30
Sandy_Concrete,16,,,,flat; pavement,5 = 50,1 = 50
Sandy_Tiles,22,,,,flat; pavement,6 = 50,1 = 50
Cracked_Rocks,17,,,,,3 = 80,4 = 20
Cracked_Sand,18,,,,,1 = 80,4 = 20
,,,,,,,
Sidewalk,23,,,,square; flat; pavement,6 = 100,
Sandy_Sidewalk,24,,,,flat; pavement,6 = 50,1 = 50
,,,,,,,
// SPECIAL,,,,,,,
Black,20,,,,square; flat; blockMovement; isUndergroundBlackTop,7 = 100,
,,,,,,,
// HUMID,,,,,,,
Grass,1,,,,,2 = 100,
Forest,6,,,,,1 = 100,
Swamp,5,,,,,4 = 100,
Rubble,9,,,,,5 = 100,
Beach,10,,,,,0 = 50,3 = 50
,,,,,,,
// OBSOLETE but used accidentally used,,,,,,,
Obsolete,19,,,,,6 = 100,
,,,,,,,
// PURPLE,,LabDLC,,,,,
Moon_Sand,28,LabDLC,,,dusty,0 = 100,
Moon_Cracks,30,LabDLC,,,dusty,1 = 100,
Moon_Rough,29,LabDLC,,,dusty,2 = 100,
Moon_Rocks,33,LabDLC,,,,3 = 100,
Moon_Hexagons,31,LabDLC,,,flat; pavement,4 = 100,
Moon_Pavement,32,LabDLC,,,flat; pavement,5 = 100,
Moon_Tiles,34,LabDLC,,,flat; pavement,6 = 100,
Moon_Platform,35,LabDLC,,,flat; pavement,7 = 100,
,,,,,,,
Moon_Rough_Sandy,36,LabDLC,,,,0 = 50,2 = 50
Moon_Sandy_Pavement,37,LabDLC,,,,0 = 50,5 = 50
Moon_Sandy_Platform,38,LabDLC,,,flat; pavement,0 = 50,7 = 50
Moon_Sandy_Hexagons,39,LabDLC,,,flat; pavement,0 = 50,4 = 50
Moon_Sandy_Cracks,40,LabDLC,,,,0 = 50,1 = 50
Rocky_Sand2,41,LabDLC,,,,1 = 30,3 = 70
Rocky_Pebbles2,42,LabDLC,,,,2 = 50,3 = 50
Sandy_Concrete2,43,LabDLC,,,,5 = 50,1 = 50
Sandy_Tiles2,44,LabDLC,,,,6 = 50,1 = 50
Cracked_Rocks2,45,LabDLC,,,,3 = 80,4 = 20
Cracked_Sand2,46,LabDLC,,,,1 = 80,4 = 20
,,,,,,,
// CHEMICAL,,,,,,,
Chemical_Sand,47,,,,dusty,0 = 100,
