name,id,dlc,featureflag,factions,category,class,propulsion,wiki,portrait,icon,minimap,tier,requires,formation,emblem,squad type,rank,members,steering type,music intensity,models,volume,tilesize,height,scale,level,tileBlockingLevel,sound,gender,weapon,power shot,abilities,lifetime,hitpoints,armor,armor type,supply,support,funds,materiel,cap,xp mod,build time,speed,rotation,turret,flight,LOS,cone,capture,cargo,garrison,switch,alternateUnitTypes,decoration,hit,death,death.blood,death.deathEffect,attributes,code,traits,transform restrictions,combat stance,target priority,climbing,hopperThings,// Animations,death variations,attack variations,dropship anim,bug mound,heal,carryableConfig,landingPad,transportConfig,spawnConfig,attachment,pupaeDefense,squadDefender,notification,carrying,radiuscapturing,invasionMarker,invasion,construction effect,step effect,constructor,constructable
//,,,,,,,,,,,,,,,,,,,,,"; separated list of [{environmentVariationTag1}:][{environmentVariationTag2}:]{prefabName} | Prefab name can be prefixed with one or more variation tags, which when the tag is enabled in current landscape switch the unit to only use models with that tag",,,// Note: This is multiplied by scale,,,,,,,,,,,,,,,funds used by lava dlc mercs,,,,,,,,,,loscone,,This is the distance from the carrier they will move to,,,"these unit types are ""alternate"" version of this type and count as the same unit in the unit purchase display",,,,,"only actual Effect, no switches etc",,does this unit have in-code configuration,traits support commenting for wip nonimplemented traits: //myprototypetrait,,,,,,,anim,,"Use v2 dropship animation system: animated; landAnim: {landduration} ({keyTime} ({effectTypeName} | ""flare""); ...) ; takeoffAnim: {takeoffduration} ({keyTime} ({effectTypeName} | ""flare""); ...) ",,,,landingpad; [overrideTransportType: {unitTypeName}],,,,,"spawn defenders that follow the ""leader"" unit",,,,configure spawn behaviour of invasion markers,can this unit be used as an invasion wave spawner,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// BASE GAME: FEDERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rifle_Squad,0,base,,federation,ground,infantry,foot,Rifle_Squad,trooper,0,,,/,checker; 0.3; 1.4; 1.4; 3,offset: 5,squad,1,12,,,Basic_Infantry_0; Basic_Infantry_1; Basic_Infantry_2,0.7,,1.76,1; 1.1,,,rifle_squad,,Morita_MkI 0,Stungun,Grenade; Shotgun; Bundled_Grenades,,60,0,,3,,,,,,,3.9,360,,,50,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human; canCaptureHive,,garrison; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
Radio_Operator,2,base,,federation,ground,infantry,foot,Radio_Operator,radio,5,,,Support_Center,line; 0.3; 2.0; 2.0; 1,offset: 5,squad,2,2,,,Radio_Operator,0.7,,1.76,1; 1.1,,,radio_operator,,Morita_MkI_Secondary,,Reinforce; Dropship_Strike; Propaganda_Broadcast,,60,0,,2,,,,,,,3.9,360,,,50,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human,,garrison; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-8_Skyhook,,,,,,,,,,,,,
Engineers,42,base,,federation,ground,infantry,foot,Engineers,engineer,4,,,Support_Center,checker; 0.3; 3.0; 1.8; 2,offset: 5,squad,1,3,,,Basic_Engineer,0.7,,1.76,1; 1.1,,,engineers,female,Morita_Flamer,,Fire_Grenade; Demolition_Charge; Blazing_Spear,,80,10,,2,,,,,2,,3.9,360,,,50,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human; canCaptureHive,,garrison; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-8_Skyhook,,,,,,,,,,welding,,purchase: mg_turret rocket_turret grenade_turret; construct: (attribute: repairable),
Sniper,35,base,,federation,ground,infantry,foot,Sniper,sniper,2,,,Command_Center,line; 0.3; 2.0; 2.0; 1,offset: 5,squad,2,2,,,Basic_Sniper_0,0.7,,1.76,1; 1.1,,,sniper,male,Morita_Sniper 0,,Sprint; Crippling_Shot; Sensor_Flare,,60,0,,2,,,,,0.5,,3.9,360,,,65,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human,,garrison; shootThroughSoldiers; noFireBlocking; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-8_Skyhook,,,,,,,,,,,,,
Tactical_Officer,83,base,,federation,ground,infantry,foot,Tactical_Officer,vet,7,,,Command_Center,/,offset: 4,direct,2,1,,,Tactical_Officer_0,0.7,,1.76,1,,,tactical_officer,male,Officer_Morita_MkIII,Officer_Morita_MkIII_Grenade,Designate_Target; Tactical_Command; Inspiring_Command,,80,0,,1,,,,,0.5,,3.9,360,,,50,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human,,garrison; shootThroughSoldiers; noFireBlocking; singleton; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-8_Skyhook,,,,,,,,,,,,,
Rocketeers,21,base,,federation,ground,infantry,foot,Rocketeers,rocket,1,,,Rocket_Depot,line; 0.3; 2.0; 2.0; 1,offset: 5,squad,2,2,,,Basic_Rocketeer_0,1.2,,1.76,1; 1.1,,,rocketeers,male,APHE_Rocket,,HE_Rocket; Canister_Rocket; Fire_Rocket; Klendathu_Nuke,,60,0,,2,,,,,0.7,,3.9,360,,,50,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human,,garrison; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-8_Skyhook,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Mk.II TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy_Troopers,23,base,,federation,ground,infantry,foot,Heavy_Troopers,heavy,3,,,Grenade_Depot,checker; 0.3; 1.4; 1.6; 2,offset: 5,squad,1,8,,,Basic_Heavy_Trooper,0.7,,1.76,1; 1.1,,,heavy_troopers,,Morita_MkII 0,Morita_MkII_Grenade,Grenade_Barrage; Flak_Grenades; Ripper_Barrage,,60,0,,3,,,,,,,3.9,360,,,50,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human; canCaptureHive,,garrison; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// M4 GRINDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hover_HMG,4010,base,,federation,ground,vehicle,mech,Hover_HMG,,133,,,Grenade_Depot,/,,direct,2,1,BigUnit 120,,Hover_HMG,3,,1.8,1,,,Hover_HMG,,Hover_HMG_Burst,,Hover_HMG_Hover; Hover_HMG_Elite_A; Hover_HMG_Elite_B,,200,20,,2,,,10,,,20,4,200,80; pitch: 60 -5 85,,30,,,,,Hover_HMG_Airborne,Hover_HMG_Airborne,,Sparks,ragdoll: (),,E_Turret_Death,human,,suppressionImmune; cannotCapture; bigCollisionLayer; canSelfDestruct; canPurchase; overwatch,,,,,,,,,,,,enabled,,preferredTransport: DR-4_Viking; disband: false,,,,,,,,,,,,,
Hover_HMG_Airborne,4045,base,,federation,air,vehicle,static,Hover_HMG,,133,,,/,/,offset: 4,direct,2,1,BigUnit 120,,Hover_HMG_Airborne,3,,1.8,1,2,,Hover_HMG,,Hover_HMG_Airborne_Burst,,Hover_HMG_Descend; Hover_HMG_Elite_A; Hover_HMG_Elite_B,,200,20,,2,,,10,,,20,/,200,80; pitch: 60 -20 85,5,50,,,,,Hover_HMG,,,Sparks,ragdoll: (),,Hover_HMG_Death,human; fireproof,1,suppressionImmune; cannotCapture; canSelfDestruct; noEditor; noCollider,,,,,,,,,,,,enabled,,preferredTransport: DR-4_Viking; noPlayerInput: (),,,,,,exit: instant,,,,,,,
Hover_HMG_Hellraiser_Fire,4087,base,,gaia,ground,device,static,,,/,none,,,/,type: none,direct,/,1,,,Fire_Medium,12,,0.1,1,,,,,Hover_HMG_Hellraise_Shot,,/,15 remove,/,/,,,,,,,,,/,/,,,15,,,,,,,,,,,,,,noUnitCard; inaccessible; noEditor; forceRogue; alwaysVisible; noCollider; nightVision,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
