name,dlc,featureflag,model,projectile,air projectile,spawn,scale,width,sound,offset,charge effect,fire effect,fire effect AA,ignition effect,target hit,soft hit,hard hit,water hit,// target armor,// damage,// DPS,attack,anti armor,anti granite,anti air,shock,blast,timer,burst,delay,range,extended,min range,accuracy,speed,initialSpeed,timeUntilFullSpeed,charge,cooldown,timeBetweenAttacks,shake,fire strategy,targeting,cone,homing,invalid,valid,damageType,traits,pinning strategy,overheat,onSoldierHit,poison,allianceSwitch,mindControl,timelineShot,burstOffsets,notification
// debug,,,,,,,,,(Resources/Sound/SFX) |  fire|*: sound effect on fire shot (including burst start); burstStart: sound effect on burst start,"// Weaponpoint ""c"" offset",,,,,,,,,60,,,,,building armor,,,,,default = 1 bullet,,4Meter = 1 tile,,,,,,,,,,,,,,200,Cannot hit:,Can hit:,,traits support commenting for wip nonimplemented traits: //myprototypetrait,,,default is DetonateOnAnything,,,,"On weapon fire, spawn a timeline instead of doing damage or launching a projectile",relative to the shooter,"onTakeDamageSound is automatically enabled, unless specified otherwise"
// FEDERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// RIFLE TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morita_MkI,base,,Morita_MkI,Tracer,Tracer,,1,/,burstStart: Morita_MkI,,,Muzzle_Flash_4,,,,Bullet_Impact_Dust,Bullet_Impact_Hard,Water_Splash_Tiny,,3,#REF!,6,15,,3,5,,,2,0.3,35,10,/,max: 12; air: 17,78,,,0.3,0.3,1.3,/,,,,,solid; extinguishable,,,burstEffect;spreadFire,,,,,,,,,
Stungun,base,,/,Invisible,,,1,/,Shotgun,1,,Shot_Flash,,,,Bullet_Impact_Dust,,Water_Splash_Tiny,,1,#REF!,3,10,,,100,,,/,/,6,,/,/,50,,,,/,6,/,,,,,solid; extinguishable,,,spreadFire;indirectFire;noModifierBonus,,,,,,,,,
Shotgun,base,,/,Invisible,,,1,/,Shotgun,1,,Shot_Flash,,,,Bullet_Impact_Dust,,Water_Splash_Tiny,,1,#REF!,10,10,,,60,,,/,/,15,,/,/,50,,,,/,1,/,,,,,solid; extinguishable,,,spreadFire;indirectFire;noModifierBonus;forceStun,,,,,,,,,
Concussion_Grenade,base,,/,Grenade,,Grenade_Shock,1,/,Grenade_Timer,,,,,Bullet_Impact_Dust,,Grenade_Explosion_Concussive,,Water_Splash_Small,,250,#REF!,250,100,25,,150,5,1.5,/,/,20,,7,max: 0.5,20,,,0.9,0.5,3,40,soldier special0,,,,solid; extinguishable,,,friendlyFire;indirectFire;forceStun;longStun;noModifierBonus,,,onHit: None,,,,,,
Grenade_Shock,base,,/,/,,,,,,,,,,,,/,,,,,,/,/,,,200,6,,/,/,/,,,/,/,,,,/,0,/,,,,,solid; massive; extinguishable,,,,,,,,,,,,
Bundled_Grenades,base,,/,Bundled_Grenades,,,1,/,Grenade_Timer,,,,,Bullet_Impact_Dust,,Bundled_Grenade_Explosion,,Water_Splash_Small,,500,#REF!,500,110,50,,150,9,4,/,/,6,,/,/,10,,,,/,0,80,,,,,solid; extinguishable,,explosive,friendlyFire;indirectFire;forceStun;longStun;noModifierBonus,,,onHit: None,,,,,,
Morita_MkI_Secondary,base,,Morita_MkI,Tracer,,,1,/,burstStart: Morita_MkI,,,Muzzle_Flash_4,,,,Bullet_Impact_Dust,Bullet_Impact_Hard,Water_Splash_Tiny,,1,#REF!,5,20,,3,10,,,2,0.39,45,5,/,max: 5,78,,,0.3,0.3,1.39,/,,,,,solid; extinguishable,,,burstEffect;spreadFire,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// RADIO OPERATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropship_Guns,base,,/,Dropship_Shell,,,1,/,Heavy_Mortar,,,M11_Mortar,,,,Dropship_Shell_Explosion,,Water_Splash_Tiny,,60,#REF!,100,40,,,30,2,,4,0.4,15,50,,max: 1,78,,,,/,2.5,/,,,,,solid; extinguishable,,,unaimed;indirectFire;noModifierBonus,,,onHit: None,,,,,,
Radio_Propaganda,base,,/,/,,,2,,burstStart: Propaganda,,,Radio_Propaganda,,,,,,,,,,/,/,,,,60,,20,0.5,/,,,,,,,,/,9.5,/,,,,,structure; solid; extinguishable,,hidden,indirectFire;unaimed;noModifierBonus,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ENGINEERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morita_Flamer,base,,/,Invisible,,,1,3,burstStart: Flamethrower,,,Flamethrower,,,,,,/,,1,#REF!,5,20,50,,50,,,7,0.2,10,4,,,40,,,,/,1.2,/,,,,,solid; extinguishable; fireproof,flammable,scorching,burstEffect; StopBurstEffectManually; spreadFire; constantFireRate,,,onHit: PassThroughDamage,,,,,,
Blazing_Spear,base,,/,Blazing_Spear_Shot,,,1,10,burstStart: Flamethrower,,,Blazing_Spear,,,,,,/,,60,#REF!,60,60,5,,30,,,40,0.1,20,5,,,20,,,,/,6.9,/,,,,,solid; extinguishable,flammable,scorching,burstEffect; StopBurstEffectManually; friendlyFire; noModifierBonus;forceStun,,,onHit: PassThroughDamage,,,,,,
Demolition_Explosion,base,,/,/,,,1,,,,,/,,,,Demolition_Explosion,,,,400,#REF!,400,90,80,,,6,,/,/,/,,,,,,,,/,0,80,,,,,solid; extinguishable,,explosive,friendlyFire;noModifierBonus;noBlastReduction,,,,,,,,,
Fire_Grenade,base,,/,Fire_Grenade,,Fire_Small_Unit,1,,Grenade_Throw,,,,,,Fireball,Fireball,,Water_Splash_Large,,32,#REF!,80,30,,,/,4,,/,/,15,,5,,20,,,0.9,/,6.9,/,soldier special0,,,,solid; extinguishable; fireproof,,scorching,friendlyFire;spreadFire;indirectFire;noBlastReduction,,,onHit: None,,,,,,
Fire_Small_Pool,base,,/,/,,,1,,,,,,,,,,,/,,1.2,#REF!,6,20,,,50,3.5,,/,/,2.25,,,,,,,,/,0.3,/,,,,,solid; extinguishable; fireproof,,scorching,unaimed;indirectFire;noBlastReduction;detonateOnSource;noModifierBonus;forceStun;stealthFire,,,,,,,,,
Fire_Medium_Pool,base,,/,/,,,1,,,,,,,,,,,/,,1.2,#REF!,6,20,,,50,5.5,,/,/,3.25,,,,,,,,/,0.3,/,,,,,solid; extinguishable; fireproof,,scorching,unaimed;indirectFire;noBlastReduction;detonateOnSource;noModifierBonus;forceStun;stealthFire,,,,,,,,,
Fire_Large_Pool,base,,/,/,,,1,,,,,,,,,,,/,,1.2,#REF!,6,20,,,50,7.5,,/,/,4.25,,,,,,,,/,0.3,/,,,,,solid; extinguishable; fireproof,,scorching,unaimed;indirectFire;noBlastReduction;detonateOnSource;noModifierBonus;forceStun;stealthFire,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// SNIPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morita_Sniper,base,,Morita_Sniper,/,,,1,/,Morita_Sniper,,,Sniper_Shot,,,,,,Water_Splash_Tiny,,8,#REF!,80,15,,20,30,,,/,/,55,,/,/,/,,,0.75,0.5,1.5,/,,,,,solid; extinguishable,,,spreadFire;constantFireRate,,,,,,,,,
Crippling_Shot,base,,/,/,,,1.5,,Morita_Sniper,,,Sniper_Shot,,,Shockwave_Small,,,Water_Splash_Tiny,,150,#REF!,150,500,,150,100,,,/,/,55,,,/,91,,,,/,1,/,,,,,solid; massive; extinguishable,,,forceStun;longStun;noModifierBonus,,,,,,,,,
Sensor_Flare,base,,/,Sensor_Flare,,Sensor,1,/,Rifle_Grenade,,,Grenade_Launcher,,,,Sensor_Activate,,Water_Splash_Small,,#VALUE!,#VALUE!,/,/,,,/,/,,/,/,35,,/,/,20,,,,/,2.6,/,,,,,/,,,indirectFire,,,onHit: None,,,,,,
Sensor_Pulse,base,,/,/,,,1,,,,,,,,,,,,,,,/,/,,,/,10,,/,/,/,,,,,,,,/,0,/,,,,,solid; extinguishable,,,unaimed;indirectFire,,,onHit: None,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// MK.II TROOPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morita_MkII,base,,Morita_MkII,Tracer,Tracer,,1,/,burstStart: Morita_MkII,,,Muzzle_Flash_10,,,,Bullet_Impact_Dust,Bullet_Impact_Hard,Water_Splash_Tiny,,3.6,#REF!,9,30,,3,5,,,3,0.3,40,10,/,max: 20; air: 20,100,,,0.3,0.3,2.4,/,,,,,solid; extinguishable,,,burstEffect;spreadFire,,,,,,,,,
Morita_MkII_Grenade,base,,/,Rifle_Grenade,,,1,,Rifle_Grenade,1,,Grenade_Launcher,,,,Rifle_Grenade_Explosion,,Water_Splash_Small,,80,#REF!,100,50,20,,50,1,,/,/,40,,8,max: 2,70,,,,/,6,5,,,,,solid; extinguishable,,,spreadFire,,,onHit: None,,,,,,
Morita_MkII_Volley,base,,/,Mortar_Grenade,,,1,/,Rifle_Grenade,1,,Grenade_Launcher,,,,Volley_Grenade_Explosion,,Water_Splash_Small,,80,#REF!,100,50,30,,30,6,,/,/,35,,18,max: 4,40,,,0.3,/,0.8,10,,,,,solid; extinguishable,,,friendlyFire;indirectFire;spreadFire;constantFireRate;noModifierBonus,,,onHit: None,,,,,,
Morita_MkII_Flak,base,,/,Flak_Grenade,,,1,,Rifle_Grenade,1,,Grenade_Launcher,,,,Flak_Explosion,,/,,80,#REF!,/,60,,80,,14,,/,/,35,,/,max: 8,25,,,0.2,/,3.2,/,,,,,solid; extinguishable,,,friendlyFire;indirectFire;spreadFire;noModifierBonus,,,onHit: None,,,,,,
Ripper_Grenade,base,,/,Ripper_Tracer,,,1,5,Ripper_Blast,,,Ripper_Flash,,,,,,/,,#VALUE!,#VALUE!,80 120,80,,,50,,,/,/,12,4,,,80,,,1,/,1.3,/,,,,,solid; extinguishable,,,spreadFire;friendlyFire,,,onHit: PassThroughDamage,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ROCKET TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
